Alg;N;Price;Time;K;Time1;Time2;Time2;
k-OPT;40;4187;70249589;3;131621;70097208;106;
k-OPT;41;4315;80039545;3;149469;79868697;122;
k-OPT;42;4422;99748504;3;130558;99599399;124;
k-OPT;43;4539;81489735;3;134426;81330498;124;
k-OPT;44;4648;170214627;3;129875;170066512;148;
k-OPT;45;4724;175161821;3;134270;175005964;145;
k-OPT;46;4827;82029069;3;136062;81871282;162;
k-OPT;47;4914;229706499;3;135509;229548732;150;
k-OPT;48;5043;141009375;3;137553;140844690;187;
k-OPT;49;5154;142650206;3;135028;142495278;179;
k-OPT;5;0;0;3;0;0;0;
k-OPT;50;5245;169502582;3;131132;169354148;161;
k-OPT;51;5355;177585985;3;130316;177435673;143;
k-OPT;52;5419;171724790;3;129925;171576113;145;
k-OPT;53;5546;433910796;3;135586;433754169;179;
k-OPT;54;5647;358634787;3;135615;358473000;174;
k-OPT;55;5734;223070541;3;135366;222915650;170;
k-OPT;56;5836;309912052;3;129436;309765675;202;
k-OPT;57;5942;460071413;3;137446;459894590;170;
k-OPT;58;6023;280065421;3;130683;279916166;204;
k-OPT;59;6161;635085496;3;131112;634934621;202;
k-OPT;6;860;203413;3;132299;55837;5;
k-OPT;60;6228;293608418;3;130113;293458794;203;
k-OPT;7;921;196646;3;131071;51039;3;
k-OPT;8;1048;306090;3;131262;160464;11;
k-OPT;9;1111;530998;3;134582;375303;19;
k-OPT;10;1209;6915153;4;5942551;950045;17;
k-OPT;11;1310;6911841;4;5567870;1320332;17;
k-OPT;12;1397;9530028;4;5556487;3943107;13;
k-OPT;13;1520;12082840;4;5657734;6397679;19;
k-OPT;14;1664;16776870;4;5564924;11191784;36;
k-OPT;15;1747;25548602;4;5519229;20009659;27;
k-OPT;16;1833;28690467;4;5557032;23111303;35;
k-OPT;17;1940;23533846;4;5729892;17778470;36;
k-OPT;18;2016;39271961;4;5566129;33686435;51;
k-OPT;19;2104;44105772;4;5435175;38650985;44;
k-OPT;20;2201;74708599;4;5420668;69271450;51;
k-OPT;21;2306;91643451;4;5407377;86208255;40;
k-OPT;22;2409;109832960;4;5525929;104289842;65;
k-OPT;23;2476;208094047;4;5595612;202472417;66;
k-OPT;24;2597;255746966;4;5380266;250351254;65;
k-OPT;25;2720;185370532;4;5574227;179773268;87;
k-OPT;26;2833;210768871;4;5530120;205217521;68;
k-OPT;27;2897;392673214;4;5519145;387136112;72;
k-OPT;28;3042;444725670;4;5522867;439185663;100;
k-OPT;29;3103;477894891;4;5657400;472190887;83;
k-OPT;30;3212;722053820;4;5559537;716476337;101;
k-OPT;31;3290;585520736;4;5412137;580088561;104;
k-OPT;32;3425;698331651;4;5426109;692886137;116;
k-OPT;33;3489;803631299;4;5480956;798130396;112;
k-OPT;34;3623;1509051663;4;5417390;1503614238;119;
k-OPT;35;3689;1263884993;4;5378798;1258490178;124;
k-OPT;36;3792;1941196903;4;5550853;1935620744;128;
k-OPT;37;3906;1919263767;4;5518120;1913725053;125;
k-OPT;38;4005;2136405491;4;5431541;2130954494;130;
k-OPT;39;4123;2131275966;4;5645959;2125607320;148;
k-OPT;40;4180;1898789782;4;5370171;1893399720;131;
k-OPT;41;4314;1807934954;4;5522014;1802397388;142;
k-OPT;42;4404;2410222706;4;5467267;2404736482;128;
k-OPT;43;4525;4197734830;4;5466725;4192252019;159;
k-OPT;44;4632;4665781089;4;5467037;4660296881;167;
k-OPT;45;4722;3734429336;4;5645884;3728737060;174;
k-OPT;46;4817;5038836536;4;5315615;5033503155;190;
k-OPT;47;4912;5522220551;4;5427957;5516759342;189;
k-OPT;48;5046;4601051265;4;5436809;4595595569;199;
k-OPT;49;5145;7298170251;4;5546588;7292603233;193;
k-OPT;5;0;0;4;0;0;0;
k-OPT;50;5239;6800996438;4;5471254;6795504887;212;
k-OPT;51;5337;7795158562;4;5762438;7789373017;169;
k-OPT;52;5423;8770151475;4;6721708;8763387846;180;
k-OPT;53;5543;13039426494;4;5946602;13033459044;210;
k-OPT;54;5636;7808590764;4;5474519;7803094722;192;
k-OPT;55;5733;7984956966;4;5681058;7979246820;191;
k-OPT;56;5837;9360470212;4;5563913;9354886931;210;
k-OPT;57;5917;9554455346;4;5944835;9548480104;219;
k-OPT;58;6028;8212082424;4;5491005;8206569013;219;
k-OPT;59;6151;18906204748;4;5408853;18900775231;265;
k-OPT;6;0;0;4;0;0;0;
k-OPT;60;6201;20335397886;4;5700142;20329670861;264;
k-OPT;7;0;0;4;0;0;0;
k-OPT;8;1048;5710859;4;5389762;304637;15;
k-OPT;9;1111;6346068;4;5641863;685466;21;
k-OPT;10;1209;407090610;5;405616849;1447559;11;
k-OPT;11;1309;412640383;5;409836369;2776378;17;
k-OPT;12;1397;422692581;5;399733889;22935237;19;
k-OPT;13;1539;427157574;5;403262323;23868041;30;
k-OPT;14;1663;462575121;5;402789570;59759246;39;
k-OPT;15;1747;513333344;5;409817390;103490051;26;
k-OPT;16;1833;623690402;5;400753285;222907237;33;
k-OPT;17;1941;596960999;5;398590518;198346614;41;
k-OPT;18;2015;1214455606;5;398796397;815634555;60;
k-OPT;19;2104;1059780357;5;397592228;662161434;50;
k-OPT;20;2201;1758692912;5;396091378;1362575384;55;
k-OPT;21;2306;1580223441;5;400575337;1179617539;51;
k-OPT;22;2409;1664534913;5;403236046;1261273041;63;
k-OPT;23;2478;3489960130;5;403709258;3086222889;71;
k-OPT;24;2597;3202116122;5;400755620;2801333234;57;
k-OPT;25;2720;3867125782;5;399401919;3467692511;81;
k-OPT;26;2828;6501328269;5;399383958;6101920107;100;
